benchmark,model,surface,run,n_common,n_scored,accuracy
aa-omniscience,chatgpt-instant,api,run_0,200,200,0.515
aa-omniscience,chatgpt-instant,interface,run_0,200,200,0.53
aa-omniscience,chatgpt-instant,api,run_1,200,200,0.485
aa-omniscience,chatgpt-instant,interface,run_1,200,200,0.47
aa-omniscience,chatgpt-instant,api,run_2,200,200,0.525
aa-omniscience,chatgpt-instant,interface,run_2,200,200,0.48
aa-omniscience,chatgpt-instant,api,run_3,200,200,0.505
aa-omniscience,chatgpt-instant,interface,run_3,200,200,0.485
aa-omniscience,chatgpt-instant,api,run_4,200,200,0.49
aa-omniscience,chatgpt-instant,interface,run_4,200,200,0.47
aa-omniscience,chatgpt-thinking,api,run_0,200,200,0.585
aa-omniscience,chatgpt-thinking,interface,run_0,200,200,0.56
aa-omniscience,chatgpt-thinking,api,run_1,200,200,0.61
aa-omniscience,chatgpt-thinking,interface,run_1,200,200,0.555
aa-omniscience,chatgpt-thinking,api,run_2,200,200,0.53
aa-omniscience,chatgpt-thinking,interface,run_2,200,200,0.54
aa-omniscience,chatgpt-thinking,api,run_3,200,200,0.605
aa-omniscience,chatgpt-thinking,interface,run_3,200,200,0.555
aa-omniscience,chatgpt-thinking,api,run_4,200,200,0.57
aa-omniscience,chatgpt-thinking,interface,run_4,200,200,0.56
aa-omniscience,claude-haiku,api,run_0,200,200,0.135
aa-omniscience,claude-haiku,interface,run_0,200,200,0.11
aa-omniscience,claude-haiku,api,run_1,200,200,0.145
aa-omniscience,claude-haiku,interface,run_1,200,200,0.125
aa-omniscience,claude-haiku,api,run_2,200,200,0.145
aa-omniscience,claude-haiku,interface,run_2,200,200,0.1
aa-omniscience,claude-haiku,api,run_3,200,200,0.145
aa-omniscience,claude-haiku,interface,run_3,200,200,0.14
aa-omniscience,claude-haiku,api,run_4,200,200,0.135
aa-omniscience,claude-haiku,interface,run_4,200,200,0.105
aa-omniscience,claude-opus,api,run_0,200,200,0.56
aa-omniscience,claude-opus,interface,run_0,200,200,0.49
aa-omniscience,claude-opus,api,run_1,200,200,0.535
aa-omniscience,claude-opus,interface,run_1,200,200,0.49
aa-omniscience,claude-opus,api,run_2,200,200,0.555
aa-omniscience,claude-opus,interface,run_2,200,200,0.495
aa-omniscience,claude-opus,api,run_3,200,200,0.57
aa-omniscience,claude-opus,interface,run_3,200,200,0.51
aa-omniscience,claude-opus,api,run_4,200,200,0.56
aa-omniscience,claude-opus,interface,run_4,200,200,0.51
aa-omniscience,claude-sonnet,api,run_0,200,200,0.455
aa-omniscience,claude-sonnet,interface,run_0,200,200,0.41
aa-omniscience,claude-sonnet,api,run_1,200,200,0.465
aa-omniscience,claude-sonnet,interface,run_1,200,200,0.44
aa-omniscience,claude-sonnet,api,run_2,200,200,0.42
aa-omniscience,claude-sonnet,interface,run_2,200,200,0.42
aa-omniscience,claude-sonnet,api,run_3,200,200,0.44
aa-omniscience,claude-sonnet,interface,run_3,200,200,0.4
aa-omniscience,claude-sonnet,api,run_4,200,200,0.465
aa-omniscience,claude-sonnet,interface,run_4,200,200,0.4
aa-omniscience,gemini-fast,api,run_0,200,200,0.6
aa-omniscience,gemini-fast,interface,run_0,200,200,0.55
aa-omniscience,gemini-fast,api,run_1,200,200,0.66
aa-omniscience,gemini-fast,interface,run_1,200,200,0.51
aa-omniscience,gemini-fast,api,run_2,200,200,0.63
aa-omniscience,gemini-fast,interface,run_2,200,200,0.51
aa-omniscience,gemini-fast,api,run_3,200,200,0.625
aa-omniscience,gemini-fast,interface,run_3,200,200,0.54
aa-omniscience,gemini-fast,api,run_4,200,200,0.64
aa-omniscience,gemini-fast,interface,run_4,200,200,0.555
aa-omniscience,gemini-thinking,api,run_0,200,200,0.64
aa-omniscience,gemini-thinking,interface,run_0,200,200,0.595
aa-omniscience,gemini-thinking,api,run_1,200,200,0.64
aa-omniscience,gemini-thinking,interface,run_1,200,200,0.625
aa-omniscience,gemini-thinking,api,run_2,200,200,0.62
aa-omniscience,gemini-thinking,interface,run_2,200,200,0.645
aa-omniscience,gemini-thinking,api,run_3,200,200,0.625
aa-omniscience,gemini-thinking,interface,run_3,200,200,0.615
aa-omniscience,gemini-thinking,api,run_4,200,200,0.635
aa-omniscience,gemini-thinking,interface,run_4,200,200,0.595
bbq,chatgpt-instant,api,run_0,196,196,0.897959
bbq,chatgpt-instant,interface,run_0,196,196,0.938776
bbq,chatgpt-instant,api,run_1,195,195,0.917949
bbq,chatgpt-instant,interface,run_1,195,195,0.933333
bbq,chatgpt-instant,api,run_2,194,194,0.912371
bbq,chatgpt-instant,interface,run_2,194,194,0.93299
bbq,chatgpt-instant,api,run_3,194,194,0.92268
bbq,chatgpt-instant,interface,run_3,194,194,0.953608
bbq,chatgpt-instant,api,run_4,194,194,0.92268
bbq,chatgpt-instant,interface,run_4,194,194,0.938144
bbq,chatgpt-thinking,api,run_0,199,199,0.919598
bbq,chatgpt-thinking,interface,run_0,199,199,0.904523
bbq,chatgpt-thinking,api,run_1,198,198,0.929293
bbq,chatgpt-thinking,interface,run_1,198,198,0.929293
bbq,chatgpt-thinking,api,run_2,198,198,0.929293
bbq,chatgpt-thinking,interface,run_2,198,198,0.888889
bbq,chatgpt-thinking,api,run_3,198,198,0.919192
bbq,chatgpt-thinking,interface,run_3,198,198,0.89899
bbq,chatgpt-thinking,api,run_4,199,199,0.944724
bbq,chatgpt-thinking,interface,run_4,199,199,0.919598
bbq,claude-haiku,api,run_0,198,198,0.888889
bbq,claude-haiku,interface,run_0,198,198,0.833333
bbq,claude-haiku,api,run_1,198,198,0.873737
bbq,claude-haiku,interface,run_1,198,198,0.848485
bbq,claude-haiku,api,run_2,198,198,0.888889
bbq,claude-haiku,interface,run_2,198,198,0.843434
bbq,claude-haiku,api,run_3,197,197,0.898477
bbq,claude-haiku,interface,run_3,197,197,0.84264
bbq,claude-haiku,api,run_4,199,199,0.884422
