model,benchmark,beta1_pp,se,z,p,n
chatgpt-instant,aa-omniscience,1.7,1.33,1.28,0.20026661403554202,200
chatgpt-thinking,aa-omniscience,2.6,1.15,2.25,0.024261616304683983,200
claude-haiku,aa-omniscience,2.5,0.97,2.58,0.009828721861380743,200
claude-opus,aa-omniscience,5.7,1.21,4.7,2.579844902963507e-06,200
claude-sonnet,aa-omniscience,3.5,1.18,2.98,0.002898065078001425,200
gemini-fast,aa-omniscience,9.8,1.44,6.8,1.0291963260248529e-11,200
gemini-thinking,aa-omniscience,1.7,1.3,1.31,0.19164203226213927,200
chatgpt-instant,bbq,-2.47,0.76,-3.23,0.001232199502440906,200
chatgpt-thinking,bbq,2.02,0.88,2.3,0.02124543327372587,200
claude-haiku,bbq,4.65,0.68,6.81,9.537800573463933e-12,200
claude-opus,bbq,3.4,0.45,7.56,4.151909502036081e-14,200
claude-sonnet,bbq,1.5,0.47,3.23,0.0012313246008390226,200
gemini-fast,bbq,3.0,0.65,4.62,3.83845856315772e-06,200
gemini-thinking,bbq,2.91,0.66,4.43,9.23932723936665e-06,200
chatgpt-instant,elephant-flip,-3.0,1.58,-1.9,0.05783520948503591,100
chatgpt-thinking,elephant-flip,9.2,1.33,6.91,4.845670395130762e-12,100
claude-haiku,elephant-flip,28.4,1.76,16.14,1.266346825897631e-58,100
claude-opus,elephant-flip,11.02,1.27,8.66,4.594526112456087e-18,100
claude-sonnet,elephant-flip,10.8,1.47,7.33,2.3520620033771213e-13,100
gemini-fast,elephant-flip,19.0,1.46,12.97,1.7819445624475548e-38,100
gemini-thinking,elephant-flip,7.8,1.32,5.93,3.1017457846385515e-09,100
chatgpt-instant,metabench-arc,1.24,0.44,2.84,0.004525959104602646,145
chatgpt-thinking,metabench-arc,0.83,0.48,1.74,0.0819036841907051,145
claude-haiku,metabench-arc,-0.29,0.4,-0.73,0.4676724369266724,144
claude-opus,metabench-arc,0.0,0.0,0.0,1.0,145
claude-sonnet,metabench-arc,0.83,0.27,3.11,0.0018864287975988575,145
gemini-fast,metabench-arc,0.0,0.41,0.0,1.0,145
gemini-thinking,metabench-arc,0.14,0.29,0.48,0.6310642598744576,145
chatgpt-instant,metabench-gsm8k,5.0,0.63,7.99,1.3209114122941788e-15,237
chatgpt-thinking,metabench-gsm8k,2.7,0.51,5.32,1.0411003685378276e-07,237
claude-haiku,metabench-gsm8k,0.93,0.29,3.2,0.0013844894438486768,237
claude-opus,metabench-gsm8k,0.08,0.36,0.24,0.8130944551191426,237
claude-sonnet,metabench-gsm8k,0.93,0.31,2.98,0.002867676516604841,237
gemini-fast,metabench-gsm8k,1.54,0.42,3.69,0.0002227116685916109,237
gemini-thinking,metabench-gsm8k,0.26,0.43,0.6,0.5469723001544411,237
chatgpt-instant,metabench-hellaswag,-3.04,1.05,-2.89,0.003905948449696909,93
chatgpt-thinking,metabench-hellaswag,0.65,0.91,0.71,0.48072130725130224,93
claude-haiku,metabench-hellaswag,3.32,0.94,3.53,0.00041753761360882613,91
claude-opus,metabench-hellaswag,1.51,0.46,3.3,0.0009636720342931825,93
claude-sonnet,metabench-hellaswag,3.34,0.93,3.6,0.00031512728011748884,87
gemini-fast,metabench-hellaswag,0.46,0.45,1.02,0.30801931005238714,92
gemini-thinking,metabench-hellaswag,-0.23,0.51,-0.46,0.6480552584155764,90
chatgpt-instant,metabench-mmlu,2.79,1.19,2.34,0.019070075780851042,96
chatgpt-thinking,metabench-mmlu,4.05,1.19,3.42,0.0006323044404609456,96
claude-haiku,metabench-mmlu,0.0,0.96,0.0,1.0,95
claude-opus,metabench-mmlu,0.42,0.28,1.5,0.13347110178646,96
claude-sonnet,metabench-mmlu,2.13,0.7,3.02,0.0025036023527083926,96
gemini-fast,metabench-mmlu,-0.44,0.65,-0.68,0.49605224765449263,95
gemini-thinking,metabench-mmlu,1.54,0.73,2.1,0.03550631610669676,96
chatgpt-instant,metabench-truthfulQA,8.66,1.19,7.28,3.2666145512901066e-13,154
chatgpt-thinking,metabench-truthfulQA,4.44,0.96,4.63,3.6924022575238078e-06,154
claude-haiku,metabench-truthfulQA,2.86,0.63,4.55,5.437898745941314e-06,153
claude-opus,metabench-truthfulQA,0.0,0.5,0.0,0.9999999999999908,150
claude-sonnet,metabench-truthfulQA,0.54,0.5,1.09,0.2739630820300416,152
gemini-fast,metabench-truthfulQA,1.8,0.66,2.72,0.006547592234554336,152
gemini-thinking,metabench-truthfulQA,1.8,0.73,2.45,0.014360176023226959,153
chatgpt-instant,metabench-winogrande,7.37,1.23,5.99,2.143235749052234e-09,133
chatgpt-thinking,metabench-winogrande,18.98,1.59,11.91,1.0713825675937527e-32,133
claude-haiku,metabench-winogrande,-1.66,1.11,-1.49,0.13510983636224602,133
claude-opus,metabench-winogrande,1.06,0.7,1.52,0.12816621805674527,133
claude-sonnet,metabench-winogrande,4.1,0.89,4.62,3.824089587005841e-06,133
gemini-fast,metabench-winogrande,4.98,0.84,5.93,3.060438845231356e-09,133
gemini-thinking,metabench-winogrande,2.56,0.71,3.6,0.00031998697398270733,133
