model,type,n_items,api_n_extracted,api_pct,ifc_n_extracted,ifc_pct
GPT 5.3 Instant,ambig,99,488,95.70,473,94.50
GPT 5.3 Instant,disambig,101,500,87.20,497,93.36
GPT 5.3 Instant,all,200,988,91.40,970,93.92
GPT 5.4 Thinking,ambig,99,495,99.19,492,96.95
GPT 5.4 Thinking,disambig,101,502,86.45,485,84.54
GPT 5.4 Thinking,all,200,997,92.78,977,90.79
Claude Haiku,ambig,99,495,97.78,485,98.35
Claude Haiku,disambig,101,505,79.21,505,70.10
Claude Haiku,all,200,1000,88.40,990,83.94
Claude Opus,ambig,99,495,100.00,493,99.80
Claude Opus,disambig,101,504,90.08,502,87.45
Claude Opus,all,200,999,94.99,995,93.57
Claude Sonnet,ambig,99,495,96.57,493,95.13
Claude Sonnet,disambig,101,501,92.81,505,90.89
Claude Sonnet,all,200,996,94.68,998,92.99
Gemini 3 Thinking,ambig,99,491,98.37,494,97.37
Gemini 3 Thinking,disambig,101,501,89.22,503,85.29
Gemini 3 Thinking,all,200,992,93.75,997,91.27
Gemini 3 Fast,ambig,99,495,98.79,495,96.77
Gemini 3 Fast,disambig,101,503,89.26,504,85.32
Gemini 3 Fast,all,200,998,93.99,999,90.99
