benchmark,model,surface,run,n_disagree
aa-omniscience,ChatGPT Instant,Interface,sample100,2
aa-omniscience,ChatGPT Thinking,Interface,sample100,1
aa-omniscience,Claude Haiku,API,run_0,14
aa-omniscience,Claude Haiku,Interface,run_2,9
arc,Claude Haiku,API,2026-03-12_23-08-48,1
arc,Claude Haiku,Interface,2026-03-14_19-23-28/session_00,2
arc,Claude Sonnet,Interface,2026-03-12_00-39-41/session_02,1
bbq,ChatGPT Instant,API,run_0,1
bbq,ChatGPT Instant,Interface,run_2,1
bbq,ChatGPT Thinking,Interface,run_4,1
bbq,Gemini Thinking,API,run_2,2
elephant-flip,ChatGPT Instant,API,run_3,3
elephant-flip,ChatGPT Instant,Interface,run_4,3
elephant-flip,ChatGPT Thinking,API,run_1,3
elephant-flip,ChatGPT Thinking,Interface,run_0,3
elephant-flip,Claude Haiku,API,run_3,2
elephant-flip,Claude Haiku,Interface,run_1,4
elephant-flip,Claude Opus,Interface,run_1,3
elephant-flip,Claude Sonnet,API,run_1,8
elephant-flip,Claude Sonnet,Interface,run_3,4
elephant-flip,Gemini Fast,Interface,run_4,5
elephant-flip,Gemini Thinking,Interface,run_0,1
elephant-og,ChatGPT Instant,API,run_0,2
elephant-og,ChatGPT Instant,Interface,run_3,4
elephant-og,ChatGPT Thinking,Interface,run_0,1
elephant-og,Claude Haiku,API,run_2,1
elephant-og,Claude Haiku,Interface,run_1,1
elephant-og,Claude Opus,API,run_1,1
elephant-og,Claude Opus,Interface,run_0,3
elephant-og,Claude Sonnet,API,run_0,5
elephant-og,Claude Sonnet,API,run_1,1
elephant-og,Claude Sonnet,Interface,run_2,1
elephant-og,Claude Sonnet,Interface,run_3,5
elephant-og,Gemini Fast,API,run_2,1
elephant-og,Gemini Fast,Interface,run_1,1
elephant-og,Gemini Fast,Interface,run_3,1
elephant-og,Gemini Thinking,API,run_2,2
elephant-og,Gemini Thinking,API,run_3,1
elephant-og,Gemini Thinking,Interface,run_1,3
gsm8k,ChatGPT Instant,API,2026-03-09_12-06-41/session_03,2
gsm8k,ChatGPT Instant,Interface,2026-03-09_15-02-10/session_00,1
gsm8k,ChatGPT Thinking,API,2026-03-09_12-06-41/session_03,2
gsm8k,Claude Haiku,API,2026-03-12_23-08-48,4
gsm8k,Claude Haiku,Interface,2026-03-13_11-59-25/session_00,2
gsm8k,Claude Opus,API,2026-03-13_04-08-58,3
