model,benchmark,N,runs,api_pct,interface_pct,diff_pp,se_pp
GPT 5.3 Instant,ARC,145,5,99.9,98.6,1.2,0.5
GPT 5.3 Instant,GSM8K,237,5,98.2,93.3,4.9,1.2
GPT 5.3 Instant,HellaSwag,93,5,79.4,70.3,9.0,2.9
GPT 5.3 Instant,MMLU,96,5,94.2,91.0,3.1,2.0
GPT 5.3 Instant,TruthfulQA,154,5,88.8,79.2,9.6,2.4
GPT 5.3 Instant,WinoGrande,133,5,94.4,86.9,7.5,2.0
GPT 5.3 Instant,BBQ,200,5,91.5,94.0,-2.5,0.8
GPT 5.3 Instant,AA-Omniscience,200,5,46.3,44.9,1.4,1.3
GPT 5.3 Instant,Elephant Flip,100,5,67.6,70.6,-3.0,1.1
GPT 5.4 Thinking,ARC,145,5,99.4,98.5,1.0,0.6
GPT 5.4 Thinking,GSM8K,237,5,99.0,95.9,3.1,0.8
GPT 5.4 Thinking,HellaSwag,93,5,89.7,77.4,12.3,3.2
GPT 5.4 Thinking,MMLU,96,5,95.8,91.7,4.2,1.6
GPT 5.4 Thinking,TruthfulQA,154,5,89.5,83.8,5.7,1.9
GPT 5.4 Thinking,WinoGrande,133,5,94.0,74.9,19.1,2.6
GPT 5.4 Thinking,BBQ,200,5,92.7,90.8,2.0,0.9
GPT 5.4 Thinking,AA-Omniscience,200,5,54.9,52.6,2.3,1.2
GPT 5.4 Thinking,Elephant Flip,100,5,84.8,75.6,9.2,0.9
Claude Haiku,ARC,145,5,96.6,94.2,2.3,1.1
Claude Haiku,GSM8K,237,5,99.1,98.5,0.6,0.3
Claude Haiku,HellaSwag,93,5,90.3,55.1,35.3,4.8
Claude Haiku,MMLU,96,5,92.1,92.7,-0.6,1.0
Claude Haiku,TruthfulQA,154,5,92.2,87.4,4.8,1.5
Claude Haiku,WinoGrande,133,5,87.5,88.9,-1.4,1.1
Claude Haiku,BBQ,200,5,88.3,83.9,4.3,0.8
Claude Haiku,AA-Omniscience,200,5,18.5,12.7,5.8,1.0
Claude Haiku,Elephant Flip,100,5,72.6,44.6,28.0,1.1
Claude Opus,ARC,145,5,98.6,97.9,0.7,0.6
Claude Opus,GSM8K,237,5,97.9,98.6,-0.8,0.6
Claude Opus,HellaSwag,93,5,97.8,96.1,1.7,1.2
Claude Opus,MMLU,96,5,96.3,95.6,0.6,0.5
Claude Opus,TruthfulQA,154,5,97.0,96.5,0.5,1.2
Claude Opus,WinoGrande,133,5,94.6,93.3,1.2,1.4
Claude Opus,BBQ,200,5,97.1,93.5,3.6,0.2
Claude Opus,AA-Omniscience,200,5,57.9,52.0,5.9,0.5
Claude Opus,Elephant Flip,100,5,79.4,68.1,11.3,0.2
Claude Sonnet,ARC,145,5,99.2,98.3,0.8,0.8
Claude Sonnet,GSM8K,237,5,98.9,98.4,0.5,0.4
Claude Sonnet,HellaSwag,93,5,96.8,86.5,10.3,2.8
Claude Sonnet,MMLU,96,5,95.0,93.1,1.9,1.5
Claude Sonnet,TruthfulQA,154,5,90.9,88.8,2.1,1.5
Claude Sonnet,WinoGrande,133,5,92.5,86.5,6.0,1.8
Claude Sonnet,BBQ,200,5,94.7,93.0,1.7,0.6
Claude Sonnet,AA-Omniscience,200,5,50.3,45.8,4.5,1.1
Claude Sonnet,Elephant Flip,100,5,78.2,66.2,12.0,1.3
Gemini 3 Thinking,ARC,145,5,99.0,99.0,0.0,0.4
Gemini 3 Thinking,GSM8K,237,5,98.4,96.3,2.1,0.9
Gemini 3 Thinking,HellaSwag,93,5,94.0,95.7,-1.7,1.3
Gemini 3 Thinking,MMLU,96,5,94.6,92.9,1.7,1.4
Gemini 3 Thinking,TruthfulQA,154,5,92.2,89.1,3.2,1.8
Gemini 3 Thinking,WinoGrande,133,5,97.1,94.6,2.6,1.1
Gemini 3 Thinking,BBQ,200,5,93.7,91.2,2.5,0.7
Gemini 3 Thinking,AA-Omniscience,200,5,61.2,60.0,1.2,1.3
Gemini 3 Thinking,Elephant Flip,100,5,86.6,78.8,7.8,1.5
Gemini 3 Fast,ARC,145,5,99.0,98.6,0.4,0.8
Gemini 3 Fast,GSM8K,237,5,98.5,96.5,2.0,0.9
Gemini 3 Fast,HellaSwag,93,5,93.8,93.8,0.0,1.4
Gemini 3 Fast,MMLU,96,5,93.1,93.1,0.0,1.3
Gemini 3 Fast,TruthfulQA,154,5,91.6,89.1,2.5,1.7
Gemini 3 Fast,WinoGrande,133,5,96.8,91.6,5.3,1.9
Gemini 3 Fast,BBQ,200,5,94.0,91.0,3.0,0.8
Gemini 3 Fast,AA-Omniscience,200,5,61.2,52.6,8.6,1.5
Gemini 3 Fast,Elephant Flip,100,5,85.8,66.8,19.0,1.1
