model,benchmark,api_mean,api_sd,api_n,sp_mean,sp_sd,sp_n,iface_mean,iface_sd,iface_n,gap_orig,gap_remain,pct_explained,p_api_vs_sp,p_api_vs_iface,p_sp_vs_iface
gpt-5.3,arc,99.86,0.31,5,97.79,0.58,5,98.62,1.95,5,-1.24,0.83,33.3,0.0004,0.2293,0.4073
gpt-5.3,gsm8k,94.6,4.65,5,98.65,0.35,5,93.33,1.17,5,-1.27,-5.32,-320.0,0.123,0.583,0.0003
gpt-5.3,hellaswag,79.35,1.77,5,63.01,3.61,5,70.32,4.78,5,-9.03,7.31,19.0,0.0001,0.0104,0.0278
gpt-5.3,mmlu,94.17,1.58,5,90.62,1.04,5,91.04,5.69,5,-3.12,0.42,86.7,0.0042,0.2938,0.8793
gpt-5.3,truthfulqa,88.83,1.16,5,88.44,0.96,5,79.22,4.43,5,-9.61,-9.22,4.1,0.5801,0.0068,0.0084
gpt-5.3,winogrande,94.44,1.73,5,89.62,2.02,5,86.92,2.53,5,-7.52,-2.71,64.0,0.0039,0.0009,0.1
gpt-5.3,aa-omniscience,45.9,1.29,5,46.2,2.46,5,44.2,1.75,5,-1.7,-2.0,-17.6,0.8175,0.1226,0.1815
gpt-5.3,bbq,91.4,0.97,5,92.35,0.82,5,93.92,0.97,5,2.52,1.56,37.9,0.1329,0.0034,0.0256
gpt-5.3,elephant-flip,67.6,1.14,5,56.6,2.07,5,70.6,1.82,5,3.0,14.0,-366.7,0.0,0.0177,0.0
gpt-5.4,arc,99.45,0.58,5,98.07,0.31,5,98.48,0.9,5,-0.97,0.41,57.1,0.0031,0.0841,0.3757
gpt-5.4,gsm8k,94.6,4.59,5,98.31,0.3,5,95.86,2.05,5,1.27,-2.45,-93.3,0.1446,0.5954,0.0554
gpt-5.4,hellaswag,89.68,0.96,5,90.11,0.48,5,77.42,8.87,5,-12.26,-12.69,-3.5,0.4062,0.036,0.0328
gpt-5.4,mmlu,95.83,0.74,5,95.0,1.55,5,91.67,3.97,5,-4.17,-3.33,20.0,0.32,0.0778,0.1382
gpt-5.4,truthfulqa,89.48,0.85,5,88.96,0.92,5,83.77,4.03,5,-5.71,-5.19,9.1,0.3798,0.0322,0.0431
gpt-5.4,winogrande,93.98,1.3,5,92.63,1.24,5,74.89,10.23,5,-19.1,-17.74,7.1,0.1304,0.0135,0.0174
gpt-5.4,aa-omniscience,54.7,3.17,5,53.9,3.09,5,52.0,2.03,5,-2.7,-1.9,29.6,0.6969,0.1544,0.2888
gpt-5.4,bbq,92.78,1.05,5,91.2,1.4,5,90.81,1.67,5,-1.97,-0.39,80.1,0.0807,0.0625,0.6982
gpt-5.4,elephant-flip,84.8,0.84,5,72.6,0.89,5,75.6,2.3,5,-9.2,3.0,67.4,0.0,0.0004,0.0403
claude-opus-4.6,arc,98.62,0.0,5,96.55,0.69,5,97.93,0.49,5,-0.69,1.38,-100.0,0.0026,0.0341,0.0078
claude-opus-4.6,gsm8k,98.1,0.52,6,98.99,0.23,5,98.66,0.17,6,0.56,-0.32,42.7,0.0067,0.0441,0.0359
claude-opus-4.6,hellaswag,97.85,0.0,5,95.91,0.48,5,96.13,0.59,5,-1.72,0.22,87.5,0.0008,0.0028,0.5454
claude-opus-4.6,mmlu,96.25,0.57,5,95.41,1.18,5,95.82,0.02,5,-0.43,0.41,2.6,0.203,0.1708,0.4753
claude-opus-4.6,truthfulqa,97.01,0.74,5,95.32,0.71,5,96.49,0.58,5,-0.52,1.17,-126.1,0.0061,0.254,0.0219
claude-opus-4.6,winogrande,94.52,0.57,7,93.38,0.63,5,92.89,1.05,7,-1.63,-0.5,69.7,0.012,0.0054,0.3332
claude-opus-4.6,aa-omniscience,57.9,0.96,5,58.46,3.09,5,50.9,1.27,5,-7.0,-7.56,-8.0,0.7156,0.0,0.0033
claude-opus-4.6,bbq,97.1,0.22,5,92.78,0.57,5,93.7,0.5,5,-3.4,0.92,72.9,0.0,0.0,0.0269
claude-opus-4.6,elephant-flip,79.36,0.86,5,86.2,0.84,5,68.14,0.87,5,-11.22,-18.06,-61.0,0.0,0.0,0.0
claude-sonnet-4.6,arc,99.17,0.31,5,98.21,0.38,5,98.34,0.38,5,-0.83,0.14,83.3,0.0024,0.0057,0.5796
