model,benchmark,N,C,D,tied,p_concordant,tau_b
GPT 5.3 Instant,ARC,145,138,3,10299,0.9787,0.3597
GPT 5.3 Instant,GSM8K,237,1599,1000,25367,0.6152,0.0749
GPT 5.3 Instant,HellaSwag,93,1717,367,2194,0.8239,0.4785
GPT 5.3 Instant,MMLU,96,584,28,3948,0.9542,0.5292
GPT 5.3 Instant,TruthfulQA,154,2780,280,8721,0.9085,0.5547
GPT 5.3 Instant,WinoGrande,133,1548,140,7090,0.9171,0.5165
GPT 5.3 Instant,BBQ,200,3426,142,16332,0.9602,0.6517
GPT 5.3 Instant,AA-Omniscience,200,12457,608,6835,0.9535,0.7994
GPT 5.3 Instant,Elephant Flip,100,2686,96,2168,0.9655,0.8437
GPT 5.4 Thinking,ARC,145,142,13,10285,0.9161,0.1992
GPT 5.4 Thinking,GSM8K,237,1398,770,25798,0.6448,0.0879
GPT 5.4 Thinking,HellaSwag,93,852,278,3148,0.754,0.29
GPT 5.4 Thinking,MMLU,96,530,23,4007,0.9584,0.4922
GPT 5.4 Thinking,TruthfulQA,154,2376,112,9293,0.955,0.5807
GPT 5.4 Thinking,WinoGrande,133,1308,236,7234,0.8472,0.3355
GPT 5.4 Thinking,BBQ,200,3333,259,16308,0.9279,0.5396
GPT 5.4 Thinking,AA-Omniscience,200,11156,649,8095,0.945,0.762
GPT 5.4 Thinking,Elephant Flip,100,1614,29,3307,0.9823,0.7469
Claude Haiku,ARC,145,694,36,9710,0.9507,0.4007
Claude Haiku,GSM8K,237,698,1,27267,0.9986,0.5771
Claude Haiku,HellaSwag,93,603,398,3277,0.6024,0.0989
Claude Haiku,MMLU,96,879,12,3669,0.9865,0.7868
Claude Haiku,TruthfulQA,154,1937,41,9803,0.9793,0.6633
Claude Haiku,WinoGrande,133,2586,82,6110,0.9693,0.7342
Claude Haiku,BBQ,199,4264,96,15341,0.978,0.7249
Claude Haiku,AA-Omniscience,200,5122,294,14484,0.9457,0.6379
Claude Haiku,Elephant Flip,100,1576,117,3257,0.9309,0.5263
Claude Opus,ARC,145,286,0,10154,1.0,0.709
Claude Opus,GSM8K,237,927,1,27038,0.9989,0.7955
Claude Opus,HellaSwag,93,180,0,4098,1.0,0.6311
Claude Opus,MMLU,96,368,0,4192,1.0,0.8918
Claude Opus,TruthfulQA,154,588,29,11164,0.953,0.4435
Claude Opus,WinoGrande,133,869,25,7884,0.972,0.5911
Claude Opus,BBQ,200,1134,0,18766,1.0,0.6455
Claude Opus,AA-Omniscience,200,10220,546,9134,0.9493,0.7545
Claude Opus,Elephant Flip,100,1484,29,3437,0.9808,0.696
Claude Sonnet,ARC,145,143,7,10290,0.9533,0.2753
Claude Sonnet,GSM8K,237,700,6,27260,0.9915,0.5621
Claude Sonnet,HellaSwag,93,250,9,4019,0.9653,0.3653
Claude Sonnet,MMLU,96,535,5,4020,0.9907,0.7965
Claude Sonnet,TruthfulQA,154,1801,33,9947,0.982,0.656
Claude Sonnet,WinoGrande,133,1516,62,7200,0.9607,0.5788
Claude Sonnet,BBQ,199,1854,23,17824,0.9877,0.6829
Claude Sonnet,AA-Omniscience,200,10847,402,8651,0.9643,0.796
Claude Sonnet,Elephant Flip,100,1478,67,3405,0.9566,0.6335
Gemini 3 Thinking,ARC,145,283,5,10152,0.9826,0.4894
Gemini 3 Thinking,GSM8K,237,1356,808,25802,0.6266,0.0759
Gemini 3 Thinking,HellaSwag,93,355,29,3894,0.9245,0.4025
Gemini 3 Thinking,MMLU,96,543,12,4005,0.9784,0.6906
Gemini 3 Thinking,TruthfulQA,154,1901,80,9800,0.9596,0.6263
Gemini 3 Thinking,WinoGrande,133,751,25,8002,0.9678,0.5348
Gemini 3 Thinking,BBQ,200,2605,105,17190,0.9613,0.5625
Gemini 3 Thinking,AA-Omniscience,200,11291,732,7877,0.9391,0.7615
Gemini 3 Thinking,Elephant Flip,100,1475,52,3423,0.9659,0.7063
Gemini 3 Fast,ARC,145,282,5,10153,0.9826,0.5613
Gemini 3 Fast,GSM8K,237,1184,529,26253,0.6912,0.1084
Gemini 3 Fast,HellaSwag,93,352,30,3896,0.9215,0.3935
Gemini 3 Fast,MMLU,96,628,8,3924,0.9874,0.7659
Gemini 3 Fast,TruthfulQA,154,1776,89,9916,0.9523,0.5911
Gemini 3 Fast,WinoGrande,133,612,53,8113,0.9203,0.3849
Gemini 3 Fast,BBQ,200,2002,78,17820,0.9625,0.5391
Gemini 3 Fast,AA-Omniscience,200,10071,1276,8553,0.8875,0.6216
Gemini 3 Fast,Elephant Flip,100,1349,0,3601,1.0,0.6424
AGGREGATE,(all 63 cells),,141999,11270,634204,0.9265,
